,,Data used to calcualted saturation state,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Depth,Temperature,Pressure,Na (M),K (M),Mg (M),Ca (M),Br (uM),Cl (M),F (uM),BrOH4,SO4 (M),pH,Ac (M),Sr (microM),Ca/Cl,Mg/Cl,Sr/Cl,Mg/Ca,KD Lammers and Mitnick (2019),MgCO3 Lammers (mol%),Total alkalinity (M),Carbonate Alkalinity (M),OmegaCalcite,OmegaAragonite,aCO3,aCa,aMg
1003,1.45,15.537,48.653,0.497,0.011,0.056,0.011,0,0.58,0,0,0.03,7.7,0.002,97,0.02,0.096,167,4.93,0.002281044,1.112048915,0.002,0.002,1.176533222,0.8359918,2.18E-06,0.002238507,0.012000666
1003,2.95,15.571,48.804,0.494,0.011,0.055,0.011,0,0.577,0,0,0.03,7.69,0.003,94,0.019,0.096,163,5.11,0.002276891,1.15010981,0.003,0.003,1.736182451,1.233717561,3.20E-06,0.002245067,0.011816469
1003,4.45,15.605,48.956,0.498,0.011,0.055,0.011,0,0.578,0,0,0.031,7.71,0.003,94,0.019,0.096,163,5.09,0.00228622,1.150300238,0.003,0.003,1.805362225,1.283033133,3.34E-06,0.002236148,0.011779951
1003,5.95,15.64,49.107,0.495,0.011,0.056,0.011,0,0.578,0,0,0.029,7.65,0.003,96,0.018,0.096,166,5.26,0.002282962,1.186589188,0.003,0.003,1.589350939,1.12957716,2.94E-06,0.002240111,0.012001541
1003,8.45,15.697,49.359,0.491,0.011,0.055,0.011,0,0.577,0,0,0.03,7.61,0.003,98,0.019,0.096,170,5.15,0.002303807,1.17254885,0.003,0.003,1.464003444,1.040629506,2.69E-06,0.002251233,0.011850889
1003,9.95,15.731,49.511,0.489,0.011,0.056,0.011,0,0.576,0,0,0.029,7.74,0.003,98,0.019,0.097,170,5.08,0.002316692,1.163190069,0.003,0.003,1.951161742,1.386979461,3.59E-06,0.00224802,0.012049642
1003,11.45,15.765,49.662,0.496,0.011,0.055,0.011,0,0.575,0,0,0.031,7.67,0.003,99,0.019,0.096,172,5.09,0.002324082,1.169127419,0.003,0.003,1.661196113,1.18100214,3.08E-06,0.002233723,0.011767221
1003,15.03,15.847,50.023,0.489,0.011,0.056,0.011,0,0.574,0,0,0.03,7.67,0.002,121,0.019,0.097,211,5.1,0.002342958,1.180799098,0.002,0.002,1.115810871,0.793412149,2.06E-06,0.00224193,0.012024374
1003,23.95,16.05,50.923,0.491,0.011,0.056,0.012,0,0.575,0,0,0.03,7.69,0.003,404,0.02,0.097,703,4.79,0.002415198,1.143649351,0.003,0.003,1.908139706,1.357421041,3.25E-06,0.002434057,0.011974602
1003,28.81,16.161,51.413,0.487,0.011,0.055,0.011,0,0.575,0,0,0.029,7.69,0.003,119,0.02,0.095,207,4.86,0.002437389,1.170703013,0.003,0.003,1.778028488,1.265153289,3.27E-06,0.002255113,0.011880793
1003,42.9,16.482,52.835,0.492,0.011,0.055,0.011,0,0.582,0,0,0.029,7.69,0.003,239,0.018,0.095,411,5.18,0.002492349,1.274581342,0.003,0.003,1.792843342,1.276613474,3.29E-06,0.0022568,0.01191006
1003,52.4,16.699,53.794,0.501,0.012,0.056,0.011,0,0.595,0,0,0.028,7.84,0.005,270,0.019,0.094,454,5,0.002562112,1.264852306,0.005,0.005,4.150975704,2.957204104,7.63E-06,0.0022544,0.012122939
1003,61.5,16.906,54.712,0.522,0.012,0.056,0.01,0,0.62,0,0,0.026,7.84,0.005,409,0.016,0.091,660,5.68,0.002557979,1.43212416,0.005,0.005,3.809688091,2.715296745,7.64E-06,0.002064182,0.012230801
1003,71.4,17.132,55.711,0.568,0.013,0.056,0.01,0,0.655,0,0,0.023,7.81,0.018,789,0.015,0.085,1205,5.8,0.002604753,1.488272667,0.018,0.018,12.66973877,9.034966469,2.58E-05,0.002037597,0.012068993
1003,74.9,17.212,56.064,0.564,0.014,0.054,0.01,0,0.666,0,0,0.022,7.89,0.018,851,0.014,0.081,1278,5.7,0.002633582,1.478940906,0.018,0.018,15.35678387,10.95310211,3.07E-05,0.002074495,0.01185758
1003,87.7,17.504,57.356,0.585,0.013,0.051,0.01,0,0.708,0,0,0.019,7.87,0.006,1004,0.015,0.073,1418,4.98,0.00277706,1.364110683,0.025,0.006,5.104566574,3.6431005,9.85E-06,0.002145692,0.011645266
1003,94.8,17.665,58.072,0.61,0.014,0.052,0.011,0,0.721,0,0,0.018,7.95,0.008,999,0.015,0.073,1386,4.85,0.002834512,1.356095645,0.026,0.008,8.707749367,6.217129231,1.56E-05,0.002316259,0.011667241
1003,107.5,17.955,59.354,0.616,0.014,0.05,0.012,0,0.743,0,0,0.017,7.89,0.011,999,0.016,0.068,1345,4.33,0.002974385,1.271532629,0.028,0.011,11.7555151,8.398179054,1.89E-05,0.002569118,0.011423118
1003,118.5,18.206,60.465,0.639,0.016,0.05,0.012,0,0.774,0,0,0.017,7.79,0.009,1027,0.016,0.064,1327,4.07,0.003081145,1.238495058,0.026,0.009,7.823710918,5.59251976,1.25E-05,0.002585314,0.011542981
1003,125.05,18.355,61.126,0.641,0.015,0.049,0.012,0,0.778,0,0,0.017,7.8,0.011,1234,0.016,0.063,1586,4.02,0.003133495,1.243994976,0.028,0.011,9.855805397,7.047339439,1.57E-05,0.002596622,0.01136938
1003,145.75,18.827,63.215,0.702,0.016,0.048,0.012,0,0.789,0,0,0.016,7.79,0.011,1136,0.016,0.061,1440,3.87,0.003304225,1.262589739,0.027,0.011,9.351780891,6.693873882,1.55E-05,0.002490284,0.010703169
1003,153.95,19.014,64.043,0.661,0.016,0.048,0.013,0,0.804,0,0,0.016,7.85,0.012,1284,0.016,0.059,1597,3.72,0.003388251,1.244740219,0.028,0.012,13.1716795,9.432268143,1.93E-05,0.002820414,0.011214241
1003,160.55,19.165,64.709,0.652,0.016,0.047,0.013,0,0.794,0,0,0.016,6.67,0.012,1152,0.016,0.06,1451,3.76,0.003432701,1.274248966,0.028,0.012,0.950110912,0.680593312,1.38E-06,0.002841133,0.011029073
1003,181.45,19.641,66.82,0.675,0.016,0.048,0.014,0,0.816,0,0,0.015,6.65,0.015,1187,0.017,0.059,1455,3.48,0.003644612,1.252439908,0.03,0.015,1.226451516,0.879487336,1.67E-06,0.003039762,0.011223838
1003,192.65,19.896,67.95,0.681,0.016,0.048,0.014,0,0.82,0,0,0.016,7.71,0.013,1194,0.017,0.059,1456,3.44,0.003744034,1.271570682,0.029,0.013,11.52438927,8.268918037,1.58E-05,0.003014502,0.011178011
1003,195.45,19.96,68.233,0.676,0.016,0.048,0.015,0,0.821,0,0,0.016,6.52,0.014,1182,0.018,0.059,1440,3.3,0.003794431,1.236676895,0.03,0.014,0.917007923,0.658033192,1.16E-06,0.003254092,0.011247953
1003,199.35,20.049,68.627,0.686,0.016,0.048,0.014,0,0.828,0,0,0.016,7.82,0.012,1136,0.017,0.059,1372,3.39,0.003809922,1.275094875,0.028,0.012,13.54135609,9.718883514,0.000018538,0.003019204,0.011217331
1003,207.55,20.236,69.455,0.684,0.017,0.049,0.014,0,0.828,0,0,0.017,7.84,0.011,1094,0.017,0.059,1321,3.39,0.003879732,1.298155569,0.028,0.011,12.95846844,9.304636002,1.78E-05,0.003010303,0.011431317
1003,218.65,20.489,70.576,0.677,0.016,0.049,0.015,0,0.823,0,0,0.016,7.74,0.01,1098,0.018,0.06,1334,3.34,0.003986271,1.313920623,0.026,0.01,10.29278564,7.394593239,1.32E-05,0.003227709,0.011439135
1003,283.15,21.96,77.091,0.666,0.016,0.053,0.018,0,0.815,0,0,0.023,7.8,0.018,742,0.022,0.065,910,2.9,0.004707745,1.346858016,0.018,0.018,25.2503376,18.19851112,0.000027703,0.003755802,0.012112591
1003,294.25,22.213,78.212,0.703,0.016,0.053,0.02,0,0.854,0,0,0.022,6.7,0.02,796,0.024,0.062,932,2.57,0.004929155,1.250945935,0.02,0.02,2.699789524,1.946855068,0.000002649,0.004197408,0.012207086
1003,321.55,22.835,80.97,0.713,0.018,0.054,0.022,0,0.867,0,0,0.023,7.79,0.021,834,0.026,0.062,962,2.39,0.005299031,1.250629529,0.021,0.021,35.17075729,25.39720535,3.19E-05,0.004534243,0.012303126
1003,332.75,23.091,82.102,0.716,0.017,0.055,0.022,0,0.855,0,0,0.024,6.69,0.019,799,0.026,0.064,935,2.45,0.005405181,1.306961732,0.019,0.019,2.751282454,1.987739325,2.51E-06,0.004500907,0.012415892
1003,359.63,23.704,84.818,0.73,0.018,0.055,0.023,0,0.883,0,0,0.023,7.71,0.018,854,0.026,0.062,967,2.35,0.005770337,1.33788703,0.018,0.018,26.96856308,19.50964928,2.35E-05,0.004712327,0.012521191
1003,455.15,25.881,94.473,0.757,0.017,0.056,0.032,0,0.907,0,0,0.028,7.75,0.014,749,0.035,0.061,826,1.76,0.007460986,1.296113891,0.014,0.014,31.90408897,23.18806648,2.06E-05,0.006322476,0.01249927
1003,465.95,26.128,95.565,0.809,0.018,0.056,0.035,0,0.952,0,0,0.028,7.69,0.014,742,0.037,0.058,779,1.59,0.007778833,1.221723688,0.014,0.014,30.41046524,22.11354637,1.81E-05,0.00685158,0.012478324
1003,503.85,26.992,99.397,0.627,0.014,0.049,0.025,0,0.744,0,0,0.025,7.09,0.007,383,0.034,0.066,515,1.96,0.008068947,1.556891147,0.007,0.007,3.165999413,2.30637002,2.59E-06,0.004969711,0.010747123
1003,910.14,36.255,140.523,0.844,0.019,0.044,0.03,0,1.023,0,0,0.009,7.72,0.004,1384,0.03,0.043,1353,1.46,0.018148532,2.581289598,0.013,0.004,10.86616802,8.066370964,6.74E-06,0.006234743,0.010548103
1004,1.45,16.2533,42.349,0.49,0.01,0.056,0.011,0,0.56,0,0,0.03,7.59,0.003,100,0.02,0.1,179,5,0.002449496,1.209929525,0.003,0.003,1.417392016,1.007660985,2.60E-06,0.002208514,0.011823838
1004,4.45,16.3553,42.652,0.496,0.011,0.057,0.011,0,0.571,0,0,0.03,7.67,0.003,101,0.02,0.099,177,4.96,0.00247811,1.214218148,0.003,0.003,1.690761089,1.202257156,3.10E-06,0.00220864,0.012050048
1004,6.7,16.4318,42.879,0.499,0.011,0.056,0.012,0,0.575,0,0,0.03,7.8,0.003,96,0.02,0.098,167,4.84,0.002507106,1.198891676,0.003,0.003,2.455947638,1.746651292,4.12E-06,0.002409911,0.011848831
1004,12.7,16.6358,43.484,0.496,0.01,0.056,0.011,0,0.575,0,0,0.03,7.74,0.003,101,0.019,0.098,176,5.03,0.002543412,1.263175959,0.003,0.003,2.001879215,1.424316049,3.64E-06,0.002223315,0.011931023
1004,16.2,16.7548,43.837,0.492,0.01,0.056,0.011,0,0.575,0,0,0.029,7.66,0.003,102,0.019,0.098,177,5.05,0.002572214,1.282311173,0.003,0.003,1.695987463,1.20697844,3.07E-06,0.002233578,0.011985621
1004,19.2,16.8568,44.139,0.506,0.01,0.056,0.011,0,0.574,0,0,0.03,7.57,0.002,101,0.019,0.097,176,5.21,0.00258479,1.328781041,0.002,0.002,0.914312303,0.650821865,1.68E-06,0.002199599,0.011813456
1004,22.2,16.9588,44.442,0.498,0.011,0.055,0.011,0,0.562,0,0,0.029,7.62,0.002,103,0.019,0.098,183,5.17,0.002614528,1.333683362,0.002,0.002,1.027737379,0.73171258,1.89E-06,0.002198274,0.011575655
1004,30.2,17.2308,45.249,0.498,0.01,0.056,0.011,0,0.575,0,0,0.029,7.64,0.002,115,0.019,0.097,200,5.08,0.002693972,1.350061468,0.002,0.002,1.089405537,0.776068211,1.98E-06,0.002218252,0.011920751
1004,42.7,17.6558,46.51,0.498,0.011,0.056,0.012,0,0.571,0,0,0.029,7.52,0.003,138,0.02,0.098,242,4.88,0.002828871,1.361690988,0.003,0.003,1.372975111,0.978933632,2.31E-06,0.002398831,0.011820196
1004,50.7,17.9278,47.317,0.504,0.011,0.055,0.012,0,0.579,0,0,0.025,7.57,0.014,262,0.021,0.094,453,4.47,0.002950382,1.301654181,0.014,0.014,7.275287151,5.190119267,1.21E-05,0.002413255,0.011639552
1004,60.2,18.2508,48.275,0.53,0.012,0.051,0.009,0,0.615,0,0,0.013,7.67,0.024,734,0.015,0.083,1193,5.66,0.002912216,1.621585537,0.037,0.024,12.27519417,8.763148308,2.63E-05,0.001876767,0.011131867
1004,74.2,18.7268,49.687,0.577,0.012,0.045,0.006,0,0.662,0,0,0.003,7.96,0.062,1070,0.01,0.069,1616,7.09,0.002894834,2.011159515,0.065,0.062,40.43518448,28.89406967,0.000128702,0.001260596,0.009883974
1004,83.7,19.0498,50.646,0.599,0.013,0.043,0.006,0,0.585,0,0,0.002,7.24,0.068,1190,0.01,0.074,2034,7.17,0.002970719,2.08558251,0.07,0.068,8.69798851,6.219306946,2.93E-05,0.001190588,0.008751465
1004,92.72,19.35648,51.556,0.605,0.013,0.043,0.007,0,0.68,0,0,0.001,7.24,0.072,1365,0.01,0.063,2007,6.43,0.003133341,1.974948132,0.073,0.072,11.55461884,8.267335892,3.08E-05,0.001499511,0.009538574
1004,113.42,20.06028,53.644,0.628,0.014,0.041,0.007,0,0.711,0,0,0.003,8.09,0.066,1442,0.01,0.057,2028,5.91,0.003402433,1.971200466,0.069,0.066,66.68133545,47.77828217,0.000184227,0.001443868,0.008974222
1004,130.35,20.6359,55.353,0.64,0.014,0.039,0.006,0,0.728,0,0,0.002,7.98,0.063,1567,0.008,0.053,2152,6.36,0.003512667,2.185236507,0.065,0.063,45.15515137,32.39218903,0.000141914,0.001265854,0.008731931
1004,149.79,21.29686,57.315,0.642,0.015,0.039,0.006,0,0.734,0,0,0.002,6.78,0.063,1647,0.008,0.053,2244,6.39,0.003709976,2.315775011,0.065,0.063,3.289438725,2.362920761,9.88E-06,0.001320155,0.008988028
1004,185.55,22.5127,60.924,0.652,0.015,0.038,0.006,0,0.759,0,0,0,7.92,0.068,2530,0.008,0.05,3333,5.89,0.004194577,2.411038826,0.068,0.068,45.68415451,32.89606857,0.00014048,0.001281371,0.008682563
1005,1.45,16.998,35.472,0.511,0.011,0.057,0.011,0,0.583,0,0,0.03,7.73,0.002,95,0.019,0.098,163,5.18,0.002623817,1.340912482,0.002,0.002,1.314104676,0.93469286,2.37E-06,0.002195178,0.011996278
1005,3.9,17.129,35.719,0.499,0.01,0.057,0.011,0,0.58,0,0,0.03,7.65,0.003,102,0.019,0.098,176,5.18,0.002657982,1.358135635,0.003,0.003,1.679331541,1.194754362,2.99E-06,0.002215401,0.012105764
1005,6.9,17.29,36.022,0.503,0.01,0.056,0.011,0,0.581,0,0,0.03,7.69,0.003,122,0.019,0.097,210,5.09,0.002708795,1.360024727,0.003,0.003,1.841100097,1.310301065,3.28E-06,0.002214337,0.011891875
1005,9.9,17.451,36.324,0.503,0.01,0.057,0.011,0,0.586,0,0,0.029,7.72,0.003,100,0.019,0.097,171,5.18,0.002743326,1.401132155,0.003,0.003,1.978725672,1.408689976,3.52E-06,0.002218816,0.012133976
1005,13.4,17.638,36.677,0.51,0.011,0.057,0.012,0,0.583,0,0,0.03,7.64,0.003,139,0.02,0.098,238,4.75,0.002837325,1.329807273,0.003,0.003,1.795042992,1.278375983,2.96E-06,0.002385313,0.011965226
1005,23.4,18.174,37.685,0.495,0.01,0.056,0.011,0,0.58,0,0,0.03,7.67,0.003,380,0.02,0.096,655,5.09,0.002951911,1.480281114,0.003,0.003,1.822801709,1.299517393,0.000003216,0.002223822,0.01196747
1005,32.9,18.683,38.643,0.503,0.01,0.056,0.011,0,0.58,0,0,0.031,7.6,0.003,633,0.019,0.097,1091,5.09,0.00309869,1.552743069,0.003,0.003,1.56896162,1.119647026,2.79E-06,0.002201712,0.011865659
1005,42.4,19.193,39.601,0.502,0.011,0.056,0.012,0,0.586,0,0,0.028,7.72,0.006,809,0.02,0.096,1381,4.67,0.003307561,1.521134974,0.006,0.006,4.545926571,3.247145653,7.36E-06,0.002408557,0.011896654
1005,50.4,19.621,40.408,0.534,0.011,0.056,0.011,0,0.607,0,0,0.021,7.9,0,910,0.018,0.092,1499,5.09,0.003382277,1.692442286,0.018,0,-0.00215823,-0.001542944,-3.80E-09,0.002204909,0.011873075
1005,57.9,20.023,41.164,0.546,0.012,0.053,0.009,0,0.65,0,0,0.011,8,0.022,1023,0.013,0.082,1574,5.89,0.003393966,1.959867528,0.033,0.022,24.2305336,17.33564758,5.01E-05,0.001873951,0.011643938
1005,66.52,20.023,42.033,0.572,0.012,0.05,0.008,0,0.679,0,0,0.006,8.05,0.036,1286,0.012,0.074,1894,6.25,0.003345848,2.048321629,0.042,0.036,39.34659576,28.15317154,0.000091009,0.001678511,0.011071592
1005,68.85,20.023,42.268,0.579,0.012,0.049,0.008,0,0.69,0,0,0.003,7.95,0.043,1231,0.012,0.071,1784,6.13,0.003361654,2.019086623,0.046,0.043,38.53362274,27.57221603,8.83E-05,0.001695458,0.01092772
1005,94.05,20.023,44.81,0.654,0.014,0.05,0.009,0,0.758,0,0,0.001,7.89,0.047,1006,0.011,0.066,1327,5.56,0.00344,1.876744848,0.048,0.047,40.4391098,28.94405937,8.39E-05,0.001884166,0.011056239
1005,122.25,20.023,47.655,0.668,0.014,0.059,0.006,0,0.796,0,0,0.011,6.75,0.028,932,0.008,0.074,1171,9.83,0.002958595,2.826107665,0.039,0.028,1.257516146,0.900352538,3.86E-06,0.00128095,0.013396855
1005,150.15,22.524,50.469,0.645,0.014,0.047,0.009,0,0.76,0,0,0.005,6.72,0.049,1097,0.012,0.062,1443,5.22,0.004338713,2.214650645,0.054,0.049,3.428318739,2.465729237,6.79E-06,0.001940265,0.010743268
1005,162.45,23.135,51.71,0.652,0.015,0.041,0.006,0,0.759,0,0,0.002,6.84,0.053,2710,0.008,0.054,3570,6.83,0.004219908,2.801454042,0.055,0.053,3.387387991,2.439174175,9.84E-06,0.001317052,0.009522173
1005,178.05,23.908,53.284,0.645,0.014,0.041,0.006,0,0.742,0,0,0.003,8.07,0.057,2908,0.008,0.055,3919,6.83,0.004476708,2.966876357,0.06,0.057,53.39357376,38.50365829,0.000163848,0.00123911,0.009133332
1005,253.65,27.658,60.914,0.664,0.015,0.034,0.006,0,0.756,0,0,0,6.83,0.064,3767,0.008,0.045,4983,5.67,0.006250335,3.42264351,0.064,0.064,4.5593009,3.310805798,1.29E-05,0.001300452,0.007907564
1005,263.05,28.124,61.863,0.669,0.015,0.033,0.008,0,0.772,0,0,0,6.71,0.062,3948,0.011,0.042,5114,4.13,0.00720559,2.889907682,0.062,0.062,4.562017918,3.315539122,9.58E-06,0.001745493,0.007753931
1005,281.65,29.047,63.74,0.664,0.015,0.035,0.01,0,0.771,0,0,0.002,7.93,0.055,4098,0.013,0.045,5315,3.5,0.008136452,2.768906337,0.057,0.055,73.88026428,53.78335571,0.00013013,0.002062201,0.007916411
1005,289.45,29.434,64.528,0.677,0.015,0.034,0.007,0,0.79,0,0,0.001,8.08,0.054,4253,0.009,0.043,5384,4.86,0.007459997,3.498710611,0.055,0.054,70.12609863,51.08670044,0.000175599,0.001445059,0.007754079
1005,298.95,29.905,65.487,0.688,0.016,0.035,0.009,0,0.793,0,0,0.001,7.89,0.052,3064,0.012,0.044,3864,3.89,0.008346742,3.1447755,0.053,0.052,59.3038559,43.23871231,0.000114827,0.001859992,0.007948287
1005,315.45,30.723,67.153,0.678,0.015,0.038,0.01,0,0.795,0,0,0.003,6.58,0.048,1308,0.013,0.048,1645,3.8,0.00890252,3.272258535,0.051,0.048,3.46380806,2.529267788,0.000005781,0.002139978,0.0088535
1005,353.25,32.598,70.97,0.693,0.015,0.043,0.014,0,0.831,0,0,0.005,6.7,0.035,631,0.017,0.052,759,3.07,0.010912515,3.241545761,0.04,0.035,4.805096149,3.520359039,5.71E-06,0.002946649,0.00992984
