Depth,Calcite I abundance,Calcite II abundance,Calcite III abundance
0.32,1.526042733,3.031105225,0
0.4,1.751760879,3.083329123,0
1.03,1.077631888,2.092539427,0
1.27,0.905778778,1.918090158,0
2.52,0.804155074,1.727329505,0
2.9,0.656273871,1.501763448,0
6.07,1.061983774,1.412807052,0
7.02,0.86565141,1.120575787,0
8.02,0.918299342,1.011259053,0
10.02,1.238860522,1.750840857,0
2.22,0,1.789789703,0
3.52,0,3.175587578,0
3.75,0,1.764755509,0
4.98,0,1.428537844,0
9.02,0,1.264252717,0
19.91,0,10.81581973,6.869347597
29.14,0,5.102428433,11.84181513
40.27,0,1.79653121,5.797560601
50.54,0,2.913968403,12.44698213
70.27,0,2.973749573,10.06182249
102.06,0,1.109563638,2.49246451
92,0,0,3.096895505
120.17,0,0,31.12944326
140.36,0,0,65.84511837
150.3,0,0,51.73912135
190.21,0,0,55.8041648
207.2,0,0,71.38300426
214.97,0,0,67.19328772
234.03,0,0,72.12124456
243.52,0,0,73.44990666
253.36,0,0,79.91500666
282.47,0,0,82.07989257
292.43,0,0,87.44988943
301.05,0,0,97.26053367
310.72,0,0,84.551007
320.67,0,0,82.92875973
330.35,0,0,77.95187076
339.71,0,0,98.73809474
350.02,0,0,76.30878648
359.06,0,0,67.15344097
378.2,0,0,90.52373546
388.18,0,0,75.73250884
407.21,0,0,84.14774543
416.5,0,0,50.66150135
426.5,0,0,90.95063837
435.75,0,0,94.88749986
445.97,0,0,79.70477973
455.14,0,0,80.70309902
465.07,0,0,90.47214516
474.61,0,0,98.02167845
484.01,0,0,66.79566378
503.4,0,0,84.12402152
512.82,0,0,100
522.45,0,0,63.24262216
532.53,0,0,100
550.3,0,0,100
559.75,0,0,100
570.33,0,0,91.54174496
590.36,0,0,91.50575144
598.29,0,0,58.33502746
629.01,0,0,95.76913731
650.7,0,0,97.23936259
659,0,0,96.13352218
675.77,0,0,83.36376461
684.83,0,0,98.51711955
696.2,0,0,98.90728504
704.13,0,0,92.86859959
713.41,0,0,95.22031409
723.43,0,0,97.18682145
732.86,0,0,100
743.2,0,0,98.56074289
790.59,0,0,84.15003909
1002.06,0,0,75.90580767
1021.15,0,0,96.18842348